code_commune,nom,population,IMD4_national,income_median,IES,poverty_rate
01085,La Chapelle-du-Châtelard,388.0,-0.161727978734717,26330.0,-0.21633004840051048,
01087,Charix,280.0,-0.1892635182292545,27320.0,-0.24906460815645862,
01088,Charnoz-sur-Ain,951.0,-0.0870038585111205,28140.0,-0.13446356942330343,
01089,Château-Gaillard,2443.0,-0.0701404089980116,25170.0,-0.11069835250642678,
01090,Châtenay,373.0,-0.1680572514167095,24090.0,-0.21978287683486525,
01092,Châtillon-la-Palud,1698.0,-0.0986652515199458,25470.0,-0.143505914698893,
01093,Châtillon-sur-Chalaronne,5250.0,-0.0581866210854248,23430.0,-0.09416278732347146,10.0
01094,Chavannes-sur-Reyssouze,726.0,-0.142576404928531,23460.0,-0.18981099980196273,
01095,Nivigne et Suran,820.0,-0.1650389256539876,23260.0,-0.2148980971001037,
01096,Chaveyriat,1078.0,-0.1260728651848713,23940.0,-0.17196286377914322,
01098,Chazey-Bons,1142.0,-0.1153304661806332,22520.0,-0.15723799124649077,
01099,Chazey-sur-Ain,1632.0,-0.1175876875072583,26780.0,-0.16703739977266852,
01100,Cheignieu-la-Balme,131.0,-0.1728174838483054,21090.0,-0.2196154087597606,
01101,Chevillard,149.0,-0.17187546359443,26800.0,-0.22856449748889093,
01102,Chevroux,990.0,-0.1308597357848068,23750.0,-0.17705222026622217,
01103,Chevry,2372.0,-0.0184073020708988,44010.0,-0.07545450136896471,
01104,Chézery-Forens,433.0,-0.2103483556572462,25230.0,-0.26962208050470104,
01105,Civrieux,2016.0,-0.1045739979414984,28920.0,-0.15550955951202677,
01106,Cize,168.0,-0.1501667420277677,23440.0,-0.19837349834580414,
01107,Cleyzieu,143.0,-0.1802856384108487,22370.0,-0.23053827864668938,
01108,Coligny,1360.0,-0.1161907310919985,23750.0,-0.16043552387443166,
01109,Collonges,2398.0,-0.0809300161364856,33820.0,-0.13526922971259836,11.0
01110,Colomieu,159.0,-0.1638037149364672,20800.0,-0.20882601917808388,
01111,Conand,134.0,-0.2130192117511647,21730.0,-0.26640466176491073,
01112,Condamine,480.0,-0.1043367840279434,25520.0,-0.1500124738965974,
01113,Condeissiat,839.0,-0.1483054342453584,23170.0,-0.19578073639924104,
01114,Confort,668.0,-0.1296660390341235,30140.0,-0.1856605243054889,
01115,Confrançon,1356.0,-0.1195503907437293,24350.0,-0.1652842290331542,
01116,Contrevoz,494.0,-0.1529088296080257,23210.0,-0.20106745788062244,
01117,Conzieu,155.0,-0.1732976620865255,22900.0,-0.22360133804449303,
01118,Corbonod,1333.0,0.1605039010549082,27120.0,0.1474506809556539,
01121,Corlier,116.0,-0.1749726864068256,24470.0,-0.22827078125635014,
01123,Cormoranche-sur-Saône,1179.0,-0.004675410308645,25480.0,-0.03705288829817875,
01124,Cormoz,703.0,-0.1516306357644212,23440.0,-0.20003176203043851,
01125,Corveissiat,601.0,-0.165335281698523,24010.0,-0.2165604401824553,
01127,Courmangoux,522.0,-0.1528959838086998,24080.0,-0.20259120026719304,
01128,Courtes,289.0,-0.1561081075590567,22520.0,-0.20342992454724,
01129,Crans,326.0,-0.1679074947314776,26820.0,-0.224100862453021,
01130,Bresse Vallons,2388.0,-0.1000637935919563,24120.0,-0.14281354645965952,
01133,Cressin-Rochefort,380.0,-0.063676277080613,23660.0,-0.1007896976239191,
01134,Crottet,1847.0,0.718922844059915,24310.0,0.7845868512512034,
01135,Crozet,2416.0,-0.0770640275224788,44040.0,-0.14192791797849008,10.0
01136,Cruzilles-lès-Mépillat,984.0,-0.1151317422188101,25850.0,-0.1627778378946658,
01138,Culoz-Béon,3453.0,0.260444942989617,21730.0,0.2699241673873776,13.0
01139,Curciat-Dongalon,472.0,-0.177606925135194,19790.0,-0.22238115482607368,
